Metric,Horizon,Deployment Model,MAE,RMSE,MAPE,R2
CTR,t+1,Random Forest,0.0013319469356632837,0.002172755570286638,12.83650185835769,0.8522922952152299
CTR,t+3,Random Forest,0.0015695182263721816,0.0025430084107282533,14.955193305590745,0.7946689390122084
CTR,t+7,Random Forest,0.001805157350998408,0.002685239598376195,18.289009954666007,0.749016763465916
cpc,t+1,Random Forest,160.62828916232237,310.05544826880174,16.227546975622058,0.766060886822015
cpc,t+3,Random Forest,183.11501845124536,344.26945933863107,18.64774321944459,0.7227583393860211
cpc,t+7,Random Forest,219.20884323994,403.0727934668199,23.32079109760771,0.6548260872891443
clicks,t+1,Random Forest,232.58830901213054,551.5172344443963,28.974102302253534,0.9129899514870494
clicks,t+3,XGBoost,291.091552734375,735.2807712024027,50.19769072532654,0.8359993100166321
clicks,t+7,Random Forest,396.89620626279935,971.8664431842666,72.12779867607672,0.6133903173361164
